# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
146,5215.947,73.327,5002.066,71.704,4865.697,70.722,5079.750,72.256,5404.382,74.668,5204.092,73.117,4990.711,71.610,5064.408,72.144
147,6901.447,84.530,4903.053,71.001,5255.855,73.536,5276.855,73.679,5641.882,76.351,5534.816,75.383,5244.789,73.416,5065.408,72.151
148,5697.855,76.482,5566.789,75.577,4975.053,71.507,4948.724,71.325,5140.145,72.715,5223.092,73.247,5178.105,72.949,5060.408,72.116
149,3904.526,63.168,5027.408,71.887,5100.079,72.394,4856.710,70.668,4159.592,65.206,4950.382,71.331,4972.697,71.475,5064.408,72.144
150,3884.934,63.596,5497.447,75.111,5105.750,72.436,5059.408,72.109,6300.461,80.906,3771.855,62.372,4076.434,64.701,5064.408,72.144
151,4351.316,66.951,4501.026,68.092,4930.039,71.182,4710.329,69.590,5002.395,71.704,5403.803,74.500,5083.763,72.293,5064.408,72.144
152,4828.645,70.658,5287.434,73.691,5198.487,73.121,5162.118,72.848,5452.737,75.006,4259.921,66.219,4922.684,71.115,5064.408,72.144
153,4162.237,65.464,5672.789,76.275,5167.132,72.891,5105.434,72.446,5064.408,72.144,3490.776,60.011,5236.118,73.354,5064.408,72.144
154,3616.263,60.901,5223.763,73.255,4648.605,69.104,5100.434,72.411,4675.526,69.242,4180.566,65.600,4915.684,71.066,5063.408,72.137
155,3663.842,61.759,4801.382,70.279,4551.868,68.349,4900.710,70.979,6526.079,82.461,4099.553,64.970,4729.618,69.697,5064.408,72.144
156,4960.368,71.392,4971.395,71.487,4911.039,71.048,4844.368,70.575,4968.368,71.448,5460.145,74.883,5135.105,72.653,5064.408,72.144
157,3978.881,63.771,4873.053,70.790,5172.145,72.935,4750.013,69.887,3895.842,63.085,5347.790,74.114,5315.145,73.908,5064.408,72.144
